iter	Passed	Remaining
354	655	1191
355	656	1188
356	657	1184
357	658	1180
358	659	1177
359	663	1178
360	664	1175
361	665	1173
362	667	1170
363	668	1167
364	669	1164
365	670	1160
366	670	1157
367	671	1153
368	672	1150
369	673	1147
370	674	1144
371	676	1141
372	677	1139
373	678	1135
374	679	1132
375	681	1130
376	682	1127
377	683	1124
378	684	1120
379	684	1117
380	685	1114
381	687	1111
382	688	1109
383	689	1105
384	690	1103
385	691	1100
386	693	1097
387	695	1096
388	696	1093
389	697	1090
390	698	1087
391	699	1084
392	700	1081
393	701	1079
394	702	1076
395	703	1073
396	704	1070
397	705	1067
398	707	1065
399	709	1064
400	710	1061
401	711	1058
402	712	1055
403	713	1052
404	714	1049
405	715	1046
406	716	1044
407	717	1041
408	718	1038
409	719	1036
410	723	1036
411	725	1035
412	727	1034
413	729	1033
414	731	1030
415	731	1027
416	732	1024
417	733	1021
418	736	1020
419	737	1018
420	738	1015
421	739	1012
422	740	1010
423	741	1007
424	742	1005
425	744	1002
426	744	999
427	745	996
428	746	993
429	747	991
430	748	988
431	750	986
432	751	984
433	752	981
434	753	979
435	754	976
436	756	975
437	757	972
438	758	969
439	759	966
440	760	964
441	761	961
442	763	959
443	764	956
444	765	954
445	766	952
446	767	949
447	768	947
448	770	945
449	772	944
450	773	941
451	775	940
452	778	940
453	781	939
454	785	940
455	786	938
456	787	936
457	789	934
458	790	932
459	792	930
460	794	928
461	795	926
462	799	927
463	802	927
464	803	924
465	805	922
466	806	920
467	807	917
468	808	915
469	809	912
470	810	910
471	811	908
472	812	905
473	813	903
474	814	900
475	815	897
476	816	895
477	817	892
478	818	889
479	819	887
480	820	884
481	820	882
482	821	879
483	822	877
484	823	874
485	825	872
486	826	870
487	849	890
488	850	888
489	853	888
490	854	886
491	856	883
492	857	882
493	858	879
494	859	877
495	860	874
496	861	872
497	862	869
498	863	867
499	864	864
500	865	862
501	867	860
502	868	857
503	869	855
504	869	852
505	870	850
506	872	848
507	873	846
508	874	843
509	876	842
510	877	839
511	878	837
512	879	834
513	880	832
514	881	829
515	882	827
516	882	824
517	883	822
518	884	819
519	885	817
520	887	816
521	888	813
522	889	811
523	890	808
524	891	806
525	892	804
526	893	801
527	894	799
528	895	797
529	896	794
530	896	792
531	897	789
532	898	787
533	899	785
534	900	782
535	901	780
536	903	778
537	904	776
538	904	774
539	905	771
540	907	769
541	908	767
542	909	765
543	910	762
544	911	760
545	912	758
546	912	756
547	913	753
548	914	751
549	915	749
550	917	747
551	918	745
552	919	742
553	919	740
554	920	738
555	921	736
556	922	733
557	923	731
558	924	729
559	925	727
560	926	724
561	927	722
562	928	720
563	929	718
564	931	716
565	932	714
566	933	712
567	934	710
568	935	708
569	936	706
570	936	703
571	937	701
572	938	699
573	939	697
574	940	695
575	941	693
576	942	690
577	944	689
578	944	687
579	946	685
580	947	683
581	948	681
582	949	678
583	950	676
584	951	674
585	952	672
586	953	670
587	953	668
588	954	666
589	955	664
590	956	661
591	957	659
592	958	657
593	959	655
594	961	654
595	962	652
596	962	650
597	963	648
598	964	645
599	965	643
600	966	641
601	967	639
602	968	637
603	969	635
604	970	633
605	971	631
606	972	629
607	972	627
608	973	625
609	974	623
610	975	621
611	976	619
612	977	617
613	978	615
614	979	613
615	980	611
616	981	609
617	982	607
618	983	605
619	984	603
620	985	601
621	985	599
622	987	597
623	988	595
624	989	593
625	990	591
626	992	590
627	993	588
628	993	586
629	994	584
630	996	582
631	997	580
632	999	579
633	1000	577
634	1001	575
635	1002	573
636	1003	571
637	1004	569
638	1007	568
639	1008	567
640	1009	565
641	1010	563
642	1011	561
643	1012	559
644	1013	558
645	1014	556
646	1015	554
647	1016	552
648	1017	550
649	1019	548
650	1021	547
651	1022	545
652	1023	543
653	1024	541
654	1025	540
655	1026	538
656	1027	536
657	1028	534
658	1029	532
659	1030	530
660	1031	528
661	1032	527
662	1033	525
663	1035	523
664	1036	522
665	1037	520
666	1038	518
667	1039	516
668	1040	514
669	1041	513
670	1042	511
671	1043	509
672	1044	507
673	1046	505
674	1047	504
675	1051	503
676	1053	502
677	1086	515
678	1088	514
679	1093	514
680	1095	513
681	1098	512
682	1100	510
683	1103	509
684	1107	509
685	1109	507
686	1110	505
687	1111	503
688	1112	502
689	1114	500
690	1115	498
691	1116	497
692	1118	495
693	1119	493
694	1120	491
695	1121	490
696	1123	488
697	1124	486
698	1125	484
699	1126	482
700	1128	481
701	1130	479
702	1132	478
703	1134	476
704	1135	475
705	1136	473
706	1137	471
707	1138	469
708	1138	467
709	1140	465
710	1141	463
711	1142	462
712	1145	461
713	1146	459
714	1148	457
715	1149	455
716	1150	453
717	1150	452
718	1151	450
719	1152	448
720	1154	446
721	1155	444
722	1156	443
723	1157	441
724	1158	439
725	1159	437
726	1161	436
727	1163	434
728	1163	432
729	1164	430
730	1165	428
731	1166	427
732	1168	425
733	1169	423
734	1170	422
735	1171	420
736	1173	418
737	1175	417
738	1176	415
739	1177	413
740	1178	411
741	1180	410
742	1181	408
743	1182	406
744	1183	405
745	1184	403
746	1185	401
747	1186	399
748	1186	397
749	1190	396
750	1191	395
751	1192	393
752	1193	391
753	1194	389
754	1196	388
755	1197	386
756	1198	384
757	1199	382
758	1200	381
759	1201	379
760	1203	377
761	1204	376
762	1205	374
763	1206	372
764	1207	371
765	1209	369
766	1210	367
767	1211	365
768	1212	364
769	1212	362
770	1213	360
771	1214	358
772	1215	357
773	1219	355
774	1220	354
775	1221	352
776	1224	351
777	1226	350
778	1228	348
779	1229	346
780	1230	345
781	1232	343
782	1233	341
783	1234	340
784	1235	338
785	1237	337
786	1238	335
787	1239	333
788	1240	331
789	1241	330
790	1242	328
791	1243	326
792	1244	324
793	1245	323
794	1246	321
795	1247	319
796	1249	318
797	1250	316
798	1252	314
799	1253	313
800	1254	311
801	1255	309
802	1255	308
803	1257	306
804	1258	304
805	1259	303
806	1260	301
807	1260	299
808	1261	297
809	1263	296
810	1265	294
811	1266	293
812	1267	291
813	1268	289
814	1269	288
815	1270	286
816	1272	284
817	1272	283
818	1273	281
819	1274	279
820	1275	278
821	1276	276
822	1279	275
823	1280	273
824	1281	271
825	1282	270
826	1283	268
827	1284	266
828	1286	265
829	1287	263
830	1287	261
831	1288	260
832	1289	258
833	1315	261
834	1316	260
835	1317	258
836	1318	256
837	1319	255
838	1320	253
839	1322	251
840	1323	250
841	1326	248
842	1327	247
843	1330	245
844	1331	244
845	1331	242
846	1332	240
847	1333	239
848	1334	237
849	1335	235
850	1336	234
851	1337	232
852	1338	230
853	1339	229
854	1341	227
855	1342	225
856	1343	224
857	1345	222
858	1346	220
859	1347	219
860	1347	217
861	1349	216
862	1350	214
863	1351	212
864	1352	211
865	1353	209
866	1354	207
867	1356	206
868	1357	204
869	1358	202
870	1359	201
871	1360	199
872	1361	197
873	1361	196
874	1363	194
875	1364	193
876	1365	191
877	1366	189
878	1367	188
879	1368	186
880	1370	185
881	1371	183
882	1372	181
883	1373	180
884	1374	178
885	1375	177
886	1376	175
887	1377	173
888	1378	172
889	1379	170
890	1380	168
891	1381	167
892	1382	165
893	1383	164
894	1384	162
895	1385	160
896	1386	159
897	1388	157
898	1389	156
899	1390	154
900	1391	152
901	1392	151
902	1393	149
903	1393	148
904	1394	146
905	1395	144
906	1396	143
907	1397	141
908	1398	140
909	1399	138
910	1400	136
911	1401	135
912	1403	133
913	1404	132
914	1404	130
915	1405	128
916	1406	127
917	1407	125
918	1408	124
919	1409	122
920	1410	120
921	1411	119
922	1412	117
923	1413	116
924	1414	114
925	1415	113
926	1417	111
927	1417	110
928	1418	108
929	1419	106
930	1420	105
931	1421	103
932	1422	102
933	1423	100
934	1424	99
935	1425	97
936	1425	95
937	1426	94
938	1427	92
939	1429	91
940	1430	89
941	1431	88
942	1432	86
943	1433	85
944	1434	83
945	1435	81
946	1435	80
947	1436	78
948	1437	77
949	1438	75
950	1439	74
951	1440	72
952	1441	71
953	1442	69
954	1443	68
955	1444	66
956	1445	64
957	1446	63
958	1447	61
959	1448	60
960	1449	58
961	1450	57
962	1451	55
963	1452	54
964	1453	52
965	1454	51
966	1455	49
967	1457	48
968	1460	46
969	1461	45
970	1462	43
971	1463	42
972	1464	40
973	1465	39
974	1466	37
975	1467	36
976	1468	34
977	1469	33
978	1469	31
979	1470	30
980	1471	28
981	1472	26
982	1474	25
983	1474	23
984	1475	22
985	1477	20
986	1478	19
987	1478	17
988	1479	16
989	1480	14
990	1481	13
991	1482	11
992	1483	10
993	1484	8
994	1485	7
995	1486	5
996	1487	4
997	1488	2
998	1489	1
999	1490	0
